2000 Treeline Meterological Hourly Data (Summary),,,,,,,,,
,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,
,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,
01/07/2000 10:00,38.50,-5.0,-6999,-6999,97.50,305.4,0.30,21.94,
01/07/2000 11:00,38.50,-4.4,-6999,-6999,97.50,73.8,0.72,21.84,
01/07/2000 12:00,38.50,-3.9,-6999,-6999,96.90,284.9,0.52,21.75,
01/07/2000 13:00,38.50,-3.4,-6999,-6999,95.90,158.1,0.65,21.86,
01/07/2000 14:00,38.50,-2.5,-6999,-6999,94.80,296.1,1.18,21.76,
01/07/2000 15:00,38.60,-2.1,-6999,-6999,93.50,157.2,0.79,21.67,
01/07/2000 16:00,38.60,-1.4,-6999,-6999,89.40,221.6,0.35,21.68,
01/07/2000 17:00,38.60,-2.1,-6999,-6999,95.10,83.6,0.21,21.77,
01/07/2000 18:00,38.70,-2.8,-6999,-6999,92.90,24.3,0.89,21.76,
01/07/2000 19:00,38.70,-2.7,-6999,-6999,90.40,308.7,0.51,21.76,
01/07/2000 20:00,38.70,-2.5,-6999,-6999,91.80,32.4,0.51,21.76,
01/07/2000 21:00,38.70,-1.9,-6999,-6999,93.00,81.4,1.08,21.57,
01/07/2000 22:00,38.70,-1.3,-6999,-6999,91.20,334.4,0.74,21.57,
01/07/2000 23:00,38.70,-2.0,-6999,-6999,94.20,51.2,0.89,21.37,
01/08/2000 00:00,39.40,-1.7,-6999,-6999,90.20,156.8,1.06,21.37,
01/08/2000 01:00,39.40,-1.6,-6999,-6999,86.30,146.5,1.23,21.37,
01/08/2000 02:00,39.40,-1.3,-6999,-6999,77.70,148.0,1.97,21.37,
01/08/2000 03:00,39.40,-1.1,-6999,-6999,75.00,161.7,1.23,21.28,
01/08/2000 04:00,39.40,-0.8,-6999,-6999,72.40,157.0,1.93,21.28,
01/08/2000 05:00,39.40,-0.9,-6999,-6999,72.80,150.5,2.10,21.28,
01/08/2000 06:00,39.40,-1.9,-6999,-6999,80.20,138.7,4.90,21.18,
01/08/2000 07:00,39.40,-1.9,-6999,-6999,82.50,144.1,3.03,21.18,
01/08/2000 08:00,39.40,-2.9,-6999,-6999,98.20,204.1,0.72,22.73,
01/08/2000 09:00,39.40,-2.8,-6999,-6999,99.00,156.8,1.25,23.12,
01/08/2000 10:00,39.40,-2.1,-6999,-6999,99.30,211.4,0.41,24.09,
01/08/2000 11:00,39.40,-1.8,-6999,-6999,99.40,293.4,0.55,-6999,
01/08/2000 12:00,39.40,-1.6,-6999,-6999,99.00,279.8,0.63,-6999,
01/08/2000 13:00,39.50,-1.6,-6999,-6999,99.20,309.0,2.14,25.45,
01/08/2000 14:00,39.50,-1.0,-6999,-6999,97.40,309.4,3.73,25.27,
01/08/2000 15:00,39.50,-1.2,-6999,-6999,95.40,311.7,4.14,25.46,
01/08/2000 16:00,39.50,-1.1,-6999,-6999,89.60,318.9,3.19,24.49,
01/08/2000 17:00,39.50,-1.1,-6999,-6999,83.10,317.7,2.96,25.55,
01/08/2000 18:00,39.50,-1.8,-6999,-6999,75.40,325.9,3.42,25.55,
01/08/2000 19:00,39.50,-1.6,-6999,-6999,65.28,329.9,3.93,25.84,
01/08/2000 20:00,39.50,-1.6,-6999,-6999,65.60,314.6,3.84,26.04,
01/08/2000 21:00,39.50,-2.6,-6999,-6999,72.70,316.5,3.39,26.22,
01/08/2000 22:00,39.50,-2.8,-6999,-6999,69.99,314.2,3.14,26.22,
01/08/2000 23:00,39.50,-3.2,-6999,-6999,69.76,312.3,3.50,26.21,
01/09/2000 00:00,48.10,-3.3,-6999,-6999,68.93,314.5,3.05,26.11,
01/09/2000 01:00,48.10,-2.9,-6999,-6999,70.20,316.3,2.56,26.02,
01/09/2000 02:00,48.10,-3.3,-6999,-6999,72.90,312.5,2.36,26.03,
01/09/2000 03:00,48.10,-3.2,-6999,-6999,73.20,316.5,2.41,25.83,
01/09/2000 04:00,48.10,-3.0,-6999,-6999,71.60,313.7,2.19,25.83,
01/09/2000 05:00,48.10,-3.5,-6999,-6999,77.40,311.2,1.46,25.64,
01/09/2000 06:00,48.10,-4.5,-6999,-6999,93.30,277.9,0.81,25.83,
01/09/2000 07:00,48.10,-4.7,-6999,-6999,97.90,257.2,0.30,26.21,
01/09/2000 08:00,48.10,-4.4,-6999,-6999,97.90,257.7,0.07,27.18,
01/09/2000 09:00,48.10,-3.9,-6999,-6999,98.20,270.7,0.56,26.70,
01/09/2000 10:00,48.10,-3.5,-6999,-6999,98.40,220.1,0.70,27.78,
01/09/2000 11:00,48.10,-2.9,-6999,-6999,98.80,249.1,1.03,28.75,
01/09/2000 12:00,48.10,-2.5,-6999,-6999,98.50,282.9,1.02,28.56,
01/09/2000 13:00,48.10,-1.9,-6999,-6999,96.30,248.1,0.87,29.15,
01/09/2000 14:00,48.10,-1.6,-6999,-6999,94.70,199.6,0.30,28.76,
01/09/2000 15:00,48.10,-0.9,-6999,-6999,90.00,256.3,0.57,28.77,
01/09/2000 16:00,48.10,0.0,-6999,-6999,83.40,288.6,2.21,28.96,
01/09/2000 17:00,48.10,0.6,-6999,-6999,78.30,279.1,3.37,28.96,
01/09/2000 18:00,48.10,0.1,-6999,-6999,79.60,277.9,3.67,28.77,
01/09/2000 19:00,48.10,-0.6,-6999,-6999,82.80,287.7,3.33,28.77,
01/09/2000 20:00,48.10,-0.4,-6999,-6999,82.30,294.6,5.06,29.25,
01/09/2000 21:00,48.10,-0.6,-6999,-6999,84.20,300.6,4.93,29.35,
01/09/2000 22:00,48.10,-0.6,-6999,-6999,83.50,308.6,5.32,29.74,
01/09/2000 23:00,48.10,-1.0,-6999,-6999,83.60,308.3,4.24,29.83,
01/10/2000 00:00,56.30,-1.3,-6999,-6999,81.20,306.2,3.84,29.53,
01/10/2000 01:00,56.30,-2.0,-6999,-6999,83.40,335.6,4.01,29.92,
01/10/2000 02:00,56.30,-2.7,-6999,-6999,83.30,337.5,4.57,29.73,
01/10/2000 03:00,56.30,-2.8,-6999,-6999,75.60,337.6,3.76,29.53,
01/10/2000 04:00,56.30,-4.0,-6999,-6999,87.20,341.9,5.20,29.43,
01/10/2000 05:00,56.30,-3.3,-6999,-6999,71.60,336.4,3.81,29.43,
01/10/2000 06:00,56.30,-3.3,-6999,-6999,66.84,337.2,2.81,29.43,
01/10/2000 07:00,56.30,-3.7,-6999,-6999,73.80,315.8,1.93,29.52,
01/10/2000 08:00,56.30,-4.8,-6999,-6999,89.70,314.7,1.54,29.71,
01/10/2000 09:00,56.30,-5.1,-6999,-6999,94.90,347.0,0.41,29.71,
01/10/2000 10:00,56.30,-4.6,-6999,-6999,94.30,284.4,0.30,30.00,
01/10/2000 11:00,56.30,-4.3,-6999,-6999,95.00,159.3,0.88,30.30,
